作文编码,国籍,性别,考试时间,作文题目,口试分数,作文分数,听力分数,阅读分数,综合分数,总分,证书,检索原句
199505104523100074,韩国,男,199505,记对我影响最大的一个人,65,70,73,67,67,328,C,他也对我有极大的关心[C]，他每[C]天在课余时间给我讲各个方面{CQ的}很多事情。
199904123523100114,韩国,男,199904,如何面对挫折,50,65,48,57,56,257,未参加,我们韩国有义务当兵制度。
200105550523150028,韩国,男,200105,一封写给父母的信,65,70,41,47,67,276,未参加,如果别的公司允许我跟他们一起生活的话，我就下决定去那儿。
199312123523200311,韩国,女,199312,一封求职信,55,55,29,30,43,192,未参加,虽然如此，如[C]在贵公司当导游的话，我敢[C]说，快乐家庭旅游公司[C]有运气，有希望[C]。
200105550523150521,韩国,男,200105,一封写给父母的信,65,65,52,28,51,245,未参加,您应该想知道吧。
199610550523290026,韩国,女,199610,如何解决“代沟”问题,65,65,52,63,53,282,C,可是我想除了“[BC‘]了解心”[BC’]以外，{CQ还}需要别的方法。
200307109523200041,韩国,女,200307,绿色食品与饥饿,60,60,54,35,18,209,未参加,要多多吃绿
200307201523200032,韩国,女,200307,绿色食品与饥饿,60,60,54,70,61,287,未参加,以前人们重视吃饱、穿[C]好、睡好这样的最基本的事情。
200405109523100824,韩国,男,200405,吸烟对个人健康和公众利益的影响,70,70,57,39,45,269,未参加,我{CD在}饭店里{CJX}正在吃午饭，有个20多岁的男生进来。
200307109523200190,韩国,女,200307,绿色食品与饥饿,65,60,75,67,76,326,C,第一，尽量把[BQ“]绿色食品[BQ”]的缺点，就是生产量少的问题{CJba}[BQ，]要研究[C]能够多生产{CJ-by粮食}的方法。
199904124523100307,韩国,男,199904,如何面对挫折,75,65,80,75,72,354,B,那时候我已经变得没有精神、整天垂头丧气的。
200307302523100084,韩国,男,200307,绿色食品与饥饿,60,60,40,14,38,194,未参加,这[C]个事情对中国来说[BQ，]{CD的}真的{CJ-sy是}很重要的事情。
200510111523100832,韩国,男,200510,我看流行歌曲,60,75,58,65,59,303,C,"上面我谈了{CC的}流行歌曲的两种优点,人们喜欢听流行歌曲,经常去歌厅[B厉]唱歌。"
200307109523200342,韩国,女,200307,绿色食品与饥饿,65,70,46,41,58,266,未参加,我想现在的科学发展非常快，通[C]过[C]研[Pqàn]究活动，可以解决化学污染{CJ-zxy问题}。
200510111523201872,韩国,女,200510,我看流行歌曲,60,60,60,48,69,279,未参加,它给人们的影[C]响很大。
199412104523200695,韩国,女,199412,记对我影响最大的一个人,60,60,54,44,55,255,未参加,在老师的照顾下，我可以享受{CC尝尝}[BD、]大学生的生活{CC风土}啦、[BC，]拥有{CC抓紧}知识的欢乐。
200209550523250244,韩国,女,200209,如何解决“代沟”问题,70,70,63,59,58,308,C,对子女来说，他们为什么不听话呢？
200510302523100117,韩国,男,200510,我看流行歌曲,60,65,39,36,42,225,未参加,所以[C]从[C]现在你们努力学习{CQ过程}中有空[C]的话，喜欢他们吧！
200105550523250473,韩国,女,200105,一封写给父母的信,85,75,71,65,70,358,B,2001年5月12日×××
199604123523200265,韩国,女,199604,如何看待“安乐死”,70,70,63,71,65,325,C,如今，关于“安乐死”的问题在世界上议论纷纷。
200105550523250424,韩国,女,200105,一封写给父母的信,70,60,41,42,38,236,未参加,那就是你们最幸[B辛]福的事，对吗？
200405109523200818,韩国,女,200405,吸烟对个人健康和公众利益的影响,70,60,58,62,75,310,C,国家应该{CJ-sy用}法律来惩罚影响群众健康的人。
199904123523200023,韩国,女,199904,如何面对挫折,50,55,29,24,32,169,未参加,然后叫我错的部分一个一个苦诉{CJba}，所以我和{CC对}老师感情好，可是我的水平不高成绩不好，因此，到三年级的时候不再{CC2再}选写作课了，可是现在我很后悔[C]我选写作课[BQ，]因为老师对学生的态度不一样。
200105204523200025,韩国,女,200105,我的一个假期,70,75,65,58,68,325,C,今年1月下旬，我和两个朋友一起去了云南旅游。
200307205523100121,韩国,男,200307,绿色食品与饥饿,70,65,48,54,67,290,C,虽[C]然最近[C]通[C]过基因研[B验]究{CD进[C]行}{CQ在}解决这[C]个问题，但目前没有找到通[C]过[C]研[B验]究证明对身体无害的食品。
200209550523250209,韩国,女,200209,如何解决“代沟”问题,65,60,66,64,50,288,C,6岁到10岁之间，我非常喜欢我父亲，谁问我“{CJ+zhuy你}世界上谁最爱[C]你？
200105550523250324,韩国,女,200105,一封写给父母的信,70,65,47,30,40,238,未参加,而且爸爸现在尽量做工作。
200105550523250410,韩国,女,200105,一封写给父母的信,60,70,49,37,42,243,未参加,我没想到我这么喜欢出版社的工作。
199605550523290075,韩国,女,199605,由“三个和尚没水喝”想到的……,70,70,80,67,77,352,C,一个人做不完许许多多事情，[BC。]虽做成也{CJX}工作效率较几个人合作的要低得多{CC很}。
200105550523250139,韩国,女,200105,一封写给父母的信,80,70,63,68,47,318,C,所以你就算为了我，一定得快点好起来！
200104124523200001,韩国,女,200104,一封写给父母的信,65,75,44,54,56,281,未参加,我希望我们都{CJX}以后也这么互相照[B招]顾，互相爱护{CC爱}。[BC，]
200510111523100019,韩国,男,200510,我看流行歌曲,65,70,63,52,47,283,C,但是爱[C]好就是爱好。
200307271523200028,韩国,女,200307,绿色食品与饥饿,70,55,67,67,81,324,C,可如果不用化肥和农药，那就会{CJX}农作物的产量大大降低[C]。
200307271523200078,韩国,女,200307,绿色食品与饥饿,70,70,70,64,79,341,C,其次，人出生到这个世界只能活一次，要是不能自由的吃东西，控制到不挨饿{CJ-zxy的程度}，是一件非常痛苦的事情。
200405109523201843,韩国,女,200405,吸烟对个人健康和公众利益的影响,65,60,62,39,35,244,未参加,现在，在韩国没有有关禁止在公共场所，或街上吸烟的规定。
200307271523200038,韩国,女,200307,绿色食品与饥饿,70,55,46,59,53,267,未参加,随着人们生活水平提高，人们越来越追求“[C]健康身体”的办法。
200405109523201890,韩国,女,200405,吸烟对个人健康和公众利益的影响,65,90,55,48,70,319,未参加,总而言之，为[C]了自己的健康，公众的利[C]益
199410550523202902,韩国,女,199410,一封求职信,60,60,71,64,55,292,未参加,所以[BQ，]本人敢申请[F請]贵[F貴]公司{CQ的工作}。
199605104523100076,韩国,男,199605,由“三个和尚没水喝”想到的……,65,60,55,49,54,266,未参加,自己没有目标的人爱推辞，我总觉得这就是死亡之路，所以人要消除{CC放弃}依靠的心理{CC精神}始终坚持{CC推进}自己的人生目标。
200510111523200879,韩国,女,200510,我看流行歌曲,55,90,53,40,67,294,未参加,因为这都是一种学会文化的方法。
200405109523201560,韩国,女,200405,吸烟对个人健康和公众利益的影响,60,65,55,48,44,255,未参加,同时老{CQ跟}{CD在一起}不会吸烟的朋友在一起，那么{CJ-zhuy问题}就慢慢都解[B结]决{CJbei}。
199804124523200328,韩国,女,199804,学习汉语的苦与乐,70,60,39,52,31,237,未参加,最近我改变了注意，在中国学汉语的目的就是通过学习汉语了解中国的文化，所以我每天把五十个词语记下来{CJba}，又{CC而}重新学汉语的基本语法。
200510111523100049,韩国,男,200510,我看流行歌曲,65,70,39,38,55,253,未参加,我在听以前歌曲的时候有点儿困。
200510111523201123,韩国,女,200510,我看流行歌曲,60,75,70,52,64,307,未参加,原因是什么呢？
200104124523100463,韩国,男,200104,一封写给父母的信,65,65,38,25,42,219,未参加,还有××怎么样？
200307271523200071,韩国,女,200307,绿色食品与饥饿,70,65,64,56,81,322,C,这样{CC如此}绿色食品出现了。[BC.]
199505104523100024,韩国,男,199505,记对我影响最大的一个人,85,85,73,75,82,395,B,其实，我国公务员的收入并[F並]不高，因此很多国家工作者很容易受金钱的诱惑，但我一直[C]{CJX}到现在拿我父亲做{CD个}好榜[B傍]样，一次也没动摇[B遥]过。{CP做人做事应当有自己的原则，我决不会做对不起我良心的事。[BC，]中国有一句俗话“不做亏心事，不怕鬼叫门”。P}
200307302523100116,韩国,男,200307,绿色食品与饥饿,65,65,64,38,70,286,未参加,Title绿色食品与饥饿现在在世界上几亿人[B个]因缺少粮食而挨饿。
200209550523250107,韩国,女,200209,如何解决“代沟”问题,65,65,57,69,52,292,C,"通[C]过这样的小事,两[C]代人可以了解对方。"
199605104523200026,韩国,女,199605,由“三个和尚没水喝”想到的……,60,65,69,58,70,305,C,有三个人的时候，他们互相帮助、互相分担做事情。
200510111523201035,韩国,女,200510,我看流行歌曲,70,70,56,36,59,279,未参加,从出生到死不能听的歌曲可能并不少的{CJ？}。
200307302523200130,韩国,女,200307,绿色食品与饥饿,65,60,48,56,61,273,未参加,现在全球[B求]{CD上}的气候{CC天气}越来越异常{CC变异}。
200105550523250379,韩国,女,200105,一封写给父母的信,65,60,41,51,58,258,未参加,以前没{CC不}做的孝顺的事{CC4孝}，将会一步一步做[B作]起来。
200307109523100117,韩国,男,200307,绿色食品与饥饿,75,75,75,56,76,347,B,这[C]个是{CJ+dy一种}不顺应大自然[C]的结果。
200209550523250082,韩国,女,200209,如何解决“代沟”问题,65,65,33,40,36,223,未参加,"但如果两方都不了解对方,他们之间关系会越来越不好。"
199705104523100084,韩国,男,199705,我的城市/乡村生活,75,65,46,51,49,273,未参加,运动会的时候，学生们的父亲，母亲，岛上的村长还有{CC2更}没有关系的人也来参观我们的运动会。
200105550523250302,韩国,女,200105,一封写给父母的信,65,70,33,49,51,254,未参加,我没告诉你们我爱[F愛]爸爸和妈妈。
200209550523250914,韩国,女,200209,如何解决“代沟”问题,70,65,51,67,50,289,C,比如说，父母一起去孩子玩的地方。
200307109523200081,韩国,女,200307,绿色食品与饥饿,70,75,75,72,64,345,B,”我肯定会说是不挨饿。
199604123523200036,韩国,女,199604,如何看待“安乐死”,65,45,58,42,39,228,未参加,我同意{CJ+sy取}“安乐死”，因为{CD给}病人{CJX}能够帮助减[F減]轻痛[B通]苦。
200209550523250138,韩国,女,200209,如何解决“代沟”问题,65,65,33,54,40,241,未参加,我觉得解决代沟问题的办法是互相了解，了解是最好的办法。
200209550523250155,韩国,女,200209,如何解决“代沟”问题,65,65,57,52,38,261,未参加,看现代社会吧。
200405109523100643,韩国,男,200405,吸烟对个人健康和公众利益的影响,80,60,58,44,61,290,未参加,但是我们不能说吸烟是不{CD可}允[B充]许的，[BC。]因为吸烟是人的自由。
200105550523150267,韩国,男,200105,一封写给父母的信,65,75,44,25,51,247,未参加,应该用我的全部能力学习或工作。
200105550523250269,韩国,女,200105,一封写给父母的信,70,70,58,61,61,308,C,我想让你们高兴。
200209550523250241,韩国,女,200209,如何解决“代沟”问题,65,65,48,45,50,257,未参加,代沟，一般指的是父母和子女之间无法理解[C]沟通的情况。
200510302523200091,韩国,女,200510,我看流行歌曲,60,55,49,42,47,234,未参加,他们还没成年。
200307271523100086,韩国,男,200307,绿色食品与饥饿,75,70,78,54,76,342,C,在农作物成长的过[C]程中，如果使用了化肥和农药，产量就会大大提高，但农作物会[C]受[C]到不同程[C]度的[C]化学污[C]染[C]，[BC、]吃了会[C]有害于人的[C]健康。
200307109523100512,韩国,男,200307,绿色食品与饥饿,60,60,16,6,24,148,未参加,以后肯定{CJX}这些问题{CJ-zy会}更重要的。
200105550523150396,韩国,男,200105,一封写给父母的信,70,70,36,51,56,271,未参加,可是他的日语水平并[F並]不高。
200105550523250325,韩国,女,200105,一封写给父母的信,75,80,63,65,74,348,C,妈妈，您往往埋怨我说，别的家庭妈妈和女儿的关系多么亲密，却{CJX}我对您一直保留着距离。
200307204523200021,韩国,女,200307,绿色食品与饥饿,60,65,48,33,61,250,未参加,你能够吃，就点菜。
200105550523150319,韩国,男,200105,一封写给父母的信,65,55,63,63,81,309,C,你虽然一个人在国外，但为我们不惜[B借]一切地工作，我和妈很感谢你，又为你{CQ的}健康担[B旦]心。
200510302523100195,韩国,男,200510,我看流行歌曲,75,70,56,54,64,308,C,还有，我们从经济方面来看，流行歌曲给社会经济发展的利益也很大。
200405109523201882,韩国,女,200405,吸烟对个人健康和公众利益的影响,85,80,64,54,48,324,C,听说某市政府出台的一项规定，在公共场所边走边抽烟的人将被罚款。
200104124523200370,韩国,女,200104,一封写给父母的信,65,80,63,51,51,298,C,真感谢你们！
200307302523100081,韩国,男,200307,绿色食品与饥饿,75,70,86,80,76,376,B,为了共同幸福，[BC.]我们要重视这问题，尽早解决问题。
200307302523200024,韩国,女,200307,绿色食品与饥饿,75,70,64,70,84,352,C,我[C]不是说绿色食品是绝对不好的，而是说为个人的健康琢[C]磨之前，为了全世界的人民的幸福找到解决饥饿方法的话，全世界可以携手迈[C]向健康之路。
199605104523100027,韩国,男,199605,由“三个和尚没水喝”想到的……,65,60,55,60,46,269,未参加,为了自己国家的利益，侵略别的国家、杀[C]异国人民，这行吗？
200510111523200426,韩国,女,200510,我看流行歌曲,55,60,30,24,37,187,未参加,歌迷的大部分是学生。
200209550523250086,韩国,女,200209,如何解决“代沟”问题,65,60,39,62,46,255,未参加,所以{CD由}国家要推出{CC造出}不少的政[B正]策[C]。
200307212523200007,韩国,女,200307,绿色食品与饥饿,80,60,72,43,64,306,未参加,那么，这[C]些人吃什么呢？
200307109523200367,韩国,女,200307,绿色食品与饥饿,60,50,48,38,21,197,未参加,我认为不放农药的健康食品少吃{CC小吃}比污染的东西多吃然后{CC完后}早点死好!谁不想吃[BQ“]绿色[C]食品[BQ”]呢{CC吧}？
200510111523101863,韩国,男,200510,我看流行歌曲,60,60,60,52,62,276,未参加,这样{CQ的}问题我[C]觉得十分严重的问题{CJs}。
200105550523250280,韩国,女,200105,一封写给父母的信,70,70,14,30,27,199,未参加,爸爸{CC父父}！
199804123523200064,韩国,女,199804,学习汉语的苦与乐,65,80,63,57,54,307,C,我在这方面很弱，看看词典也很难理解，那些词语总使我糊[B胡]涂。
199605550523290001,韩国,女,199605,由“三个和尚没水喝”想到的……,90,90,88,79,100,445,A,酒[C]店的生意也越来越好。
200405109523200690,韩国,女,200405,吸烟对个人健康和公众利益的影响,70,65,59,50,48,278,未参加,不管怎么说，吸烟是个人的选择。
200209550523250146,韩国,女,200209,如何解决“代沟”问题,70,65,60,64,58,303,C,人们的思想也会变得快。
199904123523200250,韩国,女,199904,如何面对挫折,60,60,34,44,37,217,未参加,想[B相]起来{CD看}，有不少非常难解决的事情。
200209550523250055,韩国,女,200209,如何解决“代沟”问题,65,65,81,67,56,318,C,这样下去[BD，]才能达到{CC得到}各自{CC各各}的目的和期[B其]待。
200307302523200064,韩国,女,200307,绿色食品与饥饿,65,60,78,56,81,323,C,因为绿色食品与饥饿是两回事。
200209550523250273,韩国,女,200209,如何解决“代沟”问题,75,75,66,52,56,314,C,这样的话，以后的未[B末]来的社会呢，再也不用担心代沟问题了。
200105550523250395,韩国,女,200105,一封写给父母的信,75,70,63,51,67,315,C,这次跟我约好{CC约定}了。
199412123523100094,韩国,男,199412,记我的父亲,65,55,60,50,57,269,未参加,但是由于生了五个孩子的原因，在生活上困难比较多。[BC、]
200209550523250065,韩国,女,200209,如何解决“代沟”问题,60,65,60,81,62,311,C,代沟问题就是因两个{CC代}不同年代{CQ的}人互相不沟通而产生{CC发生}的一系列的问题。
199510550523200936,韩国,女,199510,如何看待“安乐死”,80,80,59,66,68,345,B,普通人在自己的人生中目前虽然艰难，但有光明的前途或者{CD其}契机，可以拥有{CC抱有}{CD要}生活的刺[C]激和希望。
200105550523250228,韩国,女,200105,一封写给父母的信,70,65,52,61,65,299,C,你跟爸爸离了婚以后为了我们每天一直很辛苦。
200307271523100060,韩国,男,200307,绿色食品与饥饿,70,65,62,46,47,276,未参加,但是，这[C]样做法的问题[B提]是产量会减少而经济人之间可能会导致不公平问题。
200307109523200115,韩国,女,200307,绿色食品与饥饿,90,95,86,80,100,449,A,只要步入商店、超市就会看到{CC得到}[BD：][BQ“]绿色蔬菜[BQ”]、[BQ“]绿色粮食[BQ”]、[BQ“]绿色鸡蛋[BQ”]等等{CJ-zxy字眼}。[BC.]
200105550523150090,韩国,男,200105,一封写给父母的信,65,70,38,39,61,259,未参加,今天写到这儿。
200209550523250874,韩国,女,200209,如何解决“代沟”问题,80,70,91,69,60,360,B,想变漂亮一些。
200209550523150217,韩国,男,200209,如何解决“代沟”问题,65,65,45,49,36,244,未参加,”这是最好{CQ的}解决问题的办法。
200307302523200056,韩国,女,200307,绿色食品与饥饿,75,60,67,54,70,312,C,很多国家和几亿人民在[B再]挨饿{CD之中}。
199804123523200064,韩国,女,199804,学习汉语的苦与乐,65,80,63,57,54,307,C,初次上课时，我真不知道怎么办。
199412104523200662,韩国,女,199412,记对我影响最大的一个人,65,65,70,63,55,302,C,有的时[F時]候学习的压力让我透不过气来，[BC。]身体也渐渐地不好了[BQ，]很想家，很想放弃学业，[BC。]整天闷闷不乐。
200307109523200254,韩国,女,200307,绿色食品与饥饿,60,70,62,67,70,314,C,所以选择吃的东西的时候，应该最先考虑{CD与}身体的健康。
200510302523200066,韩国,女,200510,我看流行歌曲,75,50,74,52,74,309,未参加,像这样，流行歌曲在我们的生活当中占了不少的部分。
200209550523250806,韩国,女,200209,如何解决“代沟”问题,70,70,42,57,46,273,未参加,当然有许[B计]多问题。
200307109523200586,韩国,女,200307,绿色食品与饥饿,80,55,67,43,53,284,未参加,我认为把不挨饿放在第一位。
200307271523100005,韩国,男,200307,绿色食品与饥饿,80,75,86,70,93,395,B,但我认为不挨饿是第一位{CJsd}。
200209550523150017,韩国,男,200209,如何解决“代沟”问题,60,60,42,71,44,259,未参加,可是这样的态度不对。
200307217523200085,韩国,女,200307,绿色食品与饥饿,65,75,70,54,50,301,C,其实“绿色食品”这[C]四个字的出现并不是长久的。
200307109523200077,韩国,女,200307,绿色食品与饥饿,65,70,64,62,56,303,C,总得来说，在“绿色食品”和“不挨饿”的问题当中，“不
200307201523100018,韩国,男,200307,绿色食品与饥饿,80,65,51,51,73,308,未参加,我们需要知道我们首先要重视的是什么。
200307109523100196,韩国,男,200307,绿色食品与饥饿,80,85,75,72,90,396,B,随着科学的发展，它带来了很多益处。
200307205523200050,韩国,女,200307,绿色食品与饥饿,65,70,72,64,76,333,C,解决“饥饿问题”之后，才开始{CD对}“健康”{CJX}{CD有}关心。
200307204523200030,韩国,女,200307,绿色食品与饥饿,60,70,56,62,73,306,未参加,因为如果人们[C]都找不使用化肥和农药的食品的话，[BC.]食品就{CJ-zy会}很快消失[B矢]的[BQ。]这样下去的话，[BC；]农作物的产量也会大大降低[BQ，]对人们会产生{CC发生}不好的影响{CC现象}，[BC.]而且，对我们生活方面也产生问题{CJjy}。[BC.]
200209550523250207,韩国,女,200209,如何解决“代沟”问题,65,65,57,62,60,293,C,但这种{CC这样}情况很危险。
200209550523250787,韩国,女,200209,如何解决“代沟”问题,65,80,51,64,62,310,C,父母与子女之间存在不同的观点是不可避免的事情。
200209550523250228,韩国,女,200209,如何解决“代沟”问题,70,60,54,52,48,269,未参加,还有可能的话，多多安排父母和子女一起在{CJX}的时间吧。
200510111523201064,韩国,女,200510,我看流行歌曲,50,50,44,44,47,213,未参加,那时候，最重要的观点是“[BC‘]时间”[BC’]。
200510111523201618,韩国,女,200510,我看流行歌曲,70,65,49,61,57,288,C,我记得一件事：[BC，]有一个出家的青少年一听他们的《回家》这首歌曲，就回家。
200307109523200330,韩国,女,200307,绿色食品与饥饿,60,55,70,33,38,237,未参加,为了更好{CC强}的化肥和农药，一天24小时研究。[BC.]
200105550523150034,韩国,男,200105,一封写给父母的信,65,75,52,37,56,272,未参加,还行吧。
199605104523100128,韩国,男,199605,由“三个和尚没水喝”想到的……,60,65,66,56,72,302,C,"我很想说如果当我面前有了这种事，由我先主动地{CC的}做[B作]事，省别人的时间,[BC。]这样才{CJX}这社[C]会[C]会好的。"
200209550523150882,韩国,男,200209,如何解决“代沟”问题,70,60,45,86,52,298,未参加,为什么这样？[BC。]
200209550523250161,韩国,女,200209,如何解决“代沟”问题,70,60,66,67,62,310,C,代沟[C]问题看起来很难解[C]决[C]的问题{CJZR}，可[C]是两代人互相理解[C]的话[B活]，这却容易解[C]决[C]的问题{CJs}。
199705104523200128,韩国,女,199705,我的城市/乡村生活,65,65,71,60,54,299,C,现在的我虽然很好，以前的我却不是这样。
200510111523201590,韩国,女,200510,我看流行歌曲,80,60,79,63,84,353,C,以前我也跟一般人一样喜欢流行歌曲，{CP虽然还没谈过恋爱，不知道那会[B回]儿经常听的那些歌曲歌词里的真正含义，每天都痴迷地去找新的流行歌曲听。P}
200510111523101583,韩国,男,200510,我看流行歌曲,60,70,39,46,47,247,未参加,学[C]习和喜欢流[C]行[C]歌调和很重要[C]。
200307109523200155,韩国,女,200307,绿色食品与饥饿,70,60,70,38,44,267,未参加,“绿色食品”也不例外。
200307109523200082,韩国,女,200307,绿色食品与饥饿,70,75,72,56,64,326,C,随着经济{CC2经济上}的发展与科技{CC2科技上}的进[C]步，人们对生活质量的要求也日益提高{CC增加}。
199904123523200005,韩国,女,199904,如何面对挫折,70,65,37,60,46,264,未参加,我认为虽然人们遇到困难但{CC并}不要{CJ-sy感到}挫折。
199412104523100116,韩国,男,199412,记对我影响最大的一个人,65,90,62,50,59,317,C,父亲把他以前如何克服困难的经验{CC勇气}都传授给我。
200104124523200299,韩国,女,200104,一封写给父母的信,65,55,44,49,49,244,未参加,晒[B洒]太阳对你们的身体{CJ-sy有}好处。
200405109523201870,韩国,女,200405,吸烟对个人健康和公众利益的影响,65,85,55,52,53,300,未参加,他死之[C]前，最后说的一句{CJ-zxy话}，让我非常难受。
199312123523200710,韩国,女,199312,一封求职信,60,55,53,45,55,249,未参加,我是在贵公司{CJX}想工作的女性。
200510111523201856,韩国,女,200510,我看流行歌曲,80,60,44,38,59,268,未参加,一方面是让我可以纠正我的发音和语调，可以共享在中国的文化和流行。
199605104523200339,韩国,女,199605,由“三个和尚没水喝”想到的……,65,55,33,33,46,214,未参加,过{CQ了}几天后，有比赛的那天，一个和尚他一点[F點[C]]也没念{CJX}佛经[C]，所以他很怕，他是一个本领不好的人，所以他暗暗地拿别的和尚的佛经[C]扔掉[C]了{CJba}，别的和尚找不到{CC了}自己的佛经[C]，所以不能参加{CC2做}比赛了，然后他们决定了顺序抬水喝，以后那座庙里继[C]续{CJ-sy保持}平静[C]。[BC，]
200209550523250136,韩国,女,200209,如何解决“代沟”问题,65,60,66,57,64,295,C,在以前的社会中，“代沟”这个问题不太严重，因为我国是比较重视对长者的礼貌的国家之一，所以晚辈一般对{CC把}长辈的想法比自己的更重视[C]。
200209550523250302,韩国,女,200209,如何解决“代沟”问题,70,75,72,84,76,366,B,这种经验和智慧值得学习。
200510111523200826,韩国,女,200510,我看流行歌曲,75,80,72,52,82,352,C,觉得有{CQ从}很多烦恼事情中解脱了自己，释放自己的感觉。
200005108523100687,韩国,男,200005,关于用自然之声取代噪声的建议,60,60,53,42,43,240,未参加,人人都对这种生活环境都不满意{CC满足}。
200307217523200040,韩国,女,200307,绿色食品与饥饿,65,65,38,33,44,229,未参加,但是我觉得他们一定要了解跟他不一样的情况下的人们。
200104124523200173,韩国,女,200104,一封写给父母的信,70,65,52,37,56,266,未参加,现在我们已经成为{CQ了}好朋友，[BC。]所以他教我英语。
200307109523200372,韩国,女,200307,绿色食品与饥饿,65,90,75,64,67,352,C,如果用化肥和农药的话，可以得到大量的农作物。
200307109523200310,韩国,女,200307,绿色食品与饥饿,60,50,6,22,18,136,未参加,每个国家都使用“绿色食品”，绿色食[C]品就是通常人们{CD把}用未经污染的农产品加工做{CQ的}食品[BQ。]现代人做“绿色食品”的很多。
200307302523200089,韩国,女,200307,绿色食品与饥饿,70,60,48,38,47,248,未参加,他们需要大量的食品.可是我觉得如果为了大量食品使用农药，[BC、]结果也肯定严重。[BC.]
200307205523200095,韩国,女,200307,绿色食品与饥饿,65,60,67,49,64,288,未参加,我们吃的饮食里面{CJ-sy有}有害物质的话[BQ，]会有害于人的健[B建]康。
199605550523190068,韩国,男,199605,由“三个和尚没水喝”想到的……,60,50,46,65,54,255,未参加,第一个和尚简称为甲，第二个和尚简称为乙，第三个简称为丙。
199604123523100267,韩国,男,199604,如何看待“安乐死”,60,55,58,61,39,254,未参加,可[C]是我[C]不能完全同[C]意这样{CQ的}想法[BQ，]因为他们的意[C]见[B贝]中缺[B却]最重要的思想。[BC.]
200105550523250077,韩国,女,200105,一封写给父母的信,65,70,49,51,61,282,未参加,你们等到四五年以后能看到我教学生的样子。
200405109523201003,韩国,女,200405,吸烟对个人健康和公众利益的影响,70,65,55,56,55,287,C,{CP众所周知，吸[C]烟对健康百害无益。
200209550523250770,韩国,女,200209,如何解决“代沟”问题,65,60,57,52,54,271,未参加,我妈妈去世后已经过了五个月。
200405109523201397,韩国,女,200405,吸烟对个人健康和公众利益的影响,60,65,38,39,57,242,未参加,而{CD如果}这个时期{CD多}抽烟的年轻人不如{CC2比不上}不抽烟的年轻人动脑{CJ-sy动}得更快。{CP这是由于烟里面含着不好的成分，它很快就影响到年轻人的头脑功能{CC技能}
